user_q,later_q,user_q_count,later_q_count
액티브워시,삼성액티브워시,10269,28266
몽벨경량,몽벨경량다운,0,66253
남성경량베스트,남성구스베스트,60699,627312
365,mc365,2164,0
mc365,365,0,2164
시원스쿨,시원스쿨탭,11553,16300
요가복 상의,요가복 긴팔상의,4310,4310
유리잔,유리잔세트,356,593041
꾸지티,꾸즈티,0,0
전기,전기요,10583,1096
한샘화장실,한샘화장실개조,9823,9825
한샘화장실개조,한샘화장실,9825,9823
구스다운,구스다운자켓,69995,259193
애플비전집,애플비,2319,746
푸마드로즈,남자 드로즈,41353,35116
잔스빌부대찌개,쟌스빌부대찌배,191,57
쟌스빌부대찌배,쟌슨빌부대찌개,57,1367
아사이베리,마키베리,8352,9662
스케쳐스시스타,스케쳐스,10611,10518
이매텍전기요,이메택전기요,1096,1096
아디다스트레이닝복,여쟈 아디다스 트레이닝,70477,0
여쟈 아디다스 트레이닝,여자 아디다스 트레이닝,0,31772
남성 기능성 쿨의류,스포츠 기능성 의류,555892,85356
메트리스,매트리스,79,55469
퍼 치랭스,여성 퍼 치랭스,41752,662587
핸드폰,공자핸드폰,9758,9781
엠프리오 아르마니 패딩,아르마니 패딩,49046,9095
하이브리드,하이브리드자전거,6724,28995
조르쥬레쉬,조르쥬 레쉬,2,60
거실매트,거실카페트,100333,32730
스칸디아폼블럭,스칸디아,27440,446
스칸디아 폼 블럭,스칸디아 폼,446,446
오토비스 자동물걸레 청소기,오토비스 자동물걸레청소기,34,34
3대개년여행,3대캐년여행,1013569,1013632
14k쥬얼리,14k쥬얼리세트,145133,733085
소울,소우울,1952,54390
글라스락셋트,글라스락세트,14229,593443
ahc순면마스크팩,ahc 순면마스크팩,38494,572
ahc순면마스크팩,ahc 마스크,38494,572
ahc순면마스크팩,ahc순면,38494,36243
스마트키홀더,헤지스 스마트키홀더,62982,40657
승마운동기구,승마운동기구렌탈,30945,32913
드림세탁기,드럼세탁기,10019,4864
소팝,소파,0,31681
지난방송,이전방송,1720,0
애플린드,애플라인드,0,18086
달팽이크림,엘렌실라달팽이크림,48067,48146
황토누름독,누름독,5806,295
에어쿠선,에어쿠션,0,911
거위털 토포,거위털 토퍼,24944,24944
여성 구두,여성 부츠,662587,662587
cj홈쇼핑,현대홈쇼핑,9546,735783
현대홈쇼핑,현대홈쇼핑 반폴라,735783,735783
홍진경,홍진경김치,472,5648
바닐라비,바닐라,132,5620
레이캅SR,레이캅,1518,144
갤럭시,갤럭시a8,163243,163699
홍삼활력,홍삼생력,3422,3327
서장훈 행거,서장훈행거,7,10925
클렌징밤,박수진클렌징밤,34702,34763
무늬베이직,무니베이직,121867,99736
프랠린 니트3종세트 ,파크랜드니트3종세트,0,1735777
프랠린 니트3종세트 ,니트3종세트,0,1734553
트랙슈트,트랙수트,15036,24200
트랙수트,트렉수트,24200,18322
잇샤미코트,잇미샤코트,111216,115480
sweetsuop,sweet,0,4222
리빙쉐프 물병,리빙쉐프 물병2개,23853,23853
전기장판,구들장전기장판,10604,10702
전동솔,진동솔,0,0
잉글랜더,잉글랜더 침대,4565,4565
훍짐대,훍침대,0,0
양털자게,양털자켓,3853,217390
토포,토퍼,42,2380
유케슬 러프테이글,유케슬 티테이블,1,1
몰드리클라이너,몰디리클라이너,18011,2319
몰드리클라이너,리클라이너세트,18011,594988
몰드리클라이너,몰르리클라이너,18011,2287
아네마린보린,아네마리보린,10734,47
여성부츠,여성니트,718301,835444
sk모바일세븐,sk세븐모바일,16725,16725
구스다운,구스다운 이불,69995,69995
여성패딩,여성숏패딩,724045,748993
에어프라이어,필립스에어프라이어,19279,26938
고현정화장품방송일정,고현정화장품,6937,5060
정윤정쇼 비타민C앰플,비타민C앰플,0,84611
크러치팩,클러치백,57933,430203
이노센트,이노센트 침대,6146,6146
젤네일,젤네일세트,713,593469
코나드젤네일,코나드젤네일세트,740,593480
소다 구두,소다 남성 구두,62732,62732
소다 남성 구두,소다 남성 구두 신사화,62732,62732
싹슬이만능,싹쓸이만능청소기,238418,243945
자이글 웰빙 플러스,자이글 플러스,32,32
씨티치라쿤워머,씨티지라쿤워머,41062,41077
스팀멉,스팀맙,0,0
일월전기,일월전기카페트,11636,36515
앤클라인뉴욛,앤클라인뉴욕,71411,103768
앤클라인뉴욕가방,앤클라인뉴욕쇼퍼백,203572,514363
북클럭,북클럽,0,1
행복한차,행복한우엉차,9792,17001
NT500R5H-29W,NT500R5H,2030397,235
NT500R5H,NT500,235,1
닥터s유산균17,닥터s유산균,205479,197524
아이오페,아이오페쿠션,507,72282
여성패딩,네파여성패딩,724045,733547
한샘리클라이너,에넥스리클라이너,9420,7553
커튼,커텐,66178,710
아르니아,아로니아,7,751
마몽드기초,마몽드기초세트,2006,594380
비타민c,비타민세럼,82594,13779
베라왕,베라왕속옷,199,10279
신일기습기 무무,신일가습기,2711,4055
신일가습기,신일기습기 무무,4055,2711
스포츠브라,스포츠,151190,85356
견과류,견과류세트,276,592978
led tv,lg tv,25129,26932
크로스백,미니크로스백,441031,529000
한솔씽크대,한샘씽크대,2405,8981
뉴발란스nbnp444022,뉴발란스nbnp,7778,7778
뭉티슈,물티슈,0,5767
엘렌실라 블랙펄,엘렌실라  콜라겐,158,158
엘렌실라 블랙펄,엘렌실라  콜,158,158
홍진경다이어트,다이어트,5942,5470
홍진경,홍진영,472,7
홍진영다이어트,홍진경다이어트,5477,5942
남자청바지,김하늘청바지,47513,13826
맥포멋,맥포머스,0,203
아이오페에어쿠션rx,아이오페에어쿠션,93666,91222
까말돌리,카말돌리,10018,517
와이드펜트,와이드펜츠,38077,38296
와이드펜트,와이드팬츠,38077,308709
임페리얼,임베리얼파딩,3329,0
임페리얼,임페리얼패딩,3329,73618
오리털롱패딩,오리롱패딩,222369,221729
크림하우스,크림하우스 매트,165461,165461
라클라우드,라클라우드9,41403,108362
a500,소니a5100,354,6370
a500,소니a500,354,6707
헬스싸이클,엑스바이크,10610,18812
폭수,폭스,2,15568
여상구듀,여성규도,0,662587
여상구듀,여성고듀,0,662587
Seedfactory,seedfactory,0,0
상화가방,상아가방,106493,26866
mini자전거,bmw자전거,36046,23865
에어쿠션,베리떼에어쿠션,911,1227
이불세트,이불패드,632226,51
화장대,화장대세트,11552,600118
한경희침규,한경희침구,641,57433
포니진,포니 진,0,7639
마더우드책상,마더우드,26271,7
오픈챡정,오픈책장,21074,46416
오픈tv,오픈tv장,29441,114274
아메리칸투어리스터,아메리카투어리스트,6043,790
쿠쿠10인용,쿠첸10인용밥솥,165974,166258
지고다 아로니아,홍진영 아로니아,31737,7
조르지오페리남성팬티,조르지오페리,670047,11985
해피콜 압력팬,해피콜 양면팬,880,880
샹티란제리,란제리,1752,1744
갤럭시노트4,갤럭시노트3,407597,1065280
koy크림,koy,47027,0
소머리곰탕,배연정 소머리곰탕,573,4
해피콜 플라즈마,해피콜 슬림,880,880
홍진경 더만드,홍진경 더만구,472,472
홍진경 더만드,홍진경 더만두,472,472
방염점퍼,여성 방염점퍼,124648,662587
물걸레청소기,오토비스물걸레청소기,84467,213776
무릅보호대,무릎보호대,8,13352
커텐,커튼,710,66178
코데즈컴바인,코데즈컴바인속옷,5697,15747
ㅗ장대,화장대,89,11552
에비우,에비수,0,2453
스포츠선글라스,스포츠썬글라스,132185,85929
로또선글라스,로또선글라스쎄트,50118,50129
원액기,휴롬원액기,110,158
온수매트,온수매트 경동,93264,93264
극세사이불세트,아동이불세트,654944,698852
코렐10인,코렐 10인조,274584,9583
푸마 트랙슈트,에버라스트 트랙슈트,17858,1249
루프기모레깅스,하비루프기모레깅스,122532,123196
하비루프기모레깅스,하비 루프기모 레깅스,123196,672
하비루프기모레깅스,루프기모레깅스,123196,122532
동양매직,동양매직비데,15917,16746
송윤아,송윤아바지,1,92381
스타픽스 멀티포머,스타픽스 멀티포머 씽크선반,254,254
토굽구두,통굽구두,99805,105094
7cm통굽,7cm 통굽구두,24343,18958
알루이늄 일륜차,알루미늄 일륜차,0,7035
로제타,로제타롤러,274,1638
캥거루냄비,캥거루,31399,1187
공기청정기,공기청정기 숨,10027,10027
트레이닝,트레이닝 조끼,51607,51607
방한화,여성방한화,372,679145
여성 야상,여성야상,662587,683329
올인원pc리퍼브,pc리퍼브,11120,6706
뿌산출발 파타야,부산출발  파타야,311,1216
재봉틀,재봉,124,60
루크르제,르쿠르제,0,1
일렉트로룩스청소기,일렉트로룩스 청소기,6053,566
렉스머플러,폭스머플러,26705,39482
에어메트리스,에어매트리스,2,115929
로얄샤럿데,로얄샤롯데,15425,15463
로얄샤롯데,로얄베일샤롯데4,15463,978486
